ID,Présentation du Sujet,Structure,Niveau de Langue,Voix Passive,Concision,Redondance,Langage Négatif,Métaphore,Discours,L'introduction,La conclusion,Persuasivité,Clarté du Langage,Créativité du discours,Global,Comment,Time Elapsed (sec),,
LRE02,B,B,B,A,C,C,B,C,B,3,3,3,3,3,55,,256,,
OCM07,C,B,A,B,A,C,C,C,C,4,2,3,2,2,41,,247,,
SPC05,A,B,A,B,B,B,A,B,B,2,3,3,2,2,48,,220,,
BOD04,A,A,B,A,C,C,A,A,B,2,2,2,2,3,44,,214,,
POF05,B,B,B,B,C,B,A,A,C,3,3,2,3,2,52,,290,,
SPC03,B,B,A,A,C,C,B,A,B,3,2,2,3,2,46,,176,,
SOU01,C,C,B,A,B,C,A,B,C,4,3,3,3,3,58,,230,,
OCM11,B,B,B,A,A,C,C,A,C,3,2,2,4,3,48,"Bien que le sujet soit important, le vocabulaire utilisé installe une gêne, rendant difficile l'écoute du discours dans son intégralité. ",373,,
NOR04,B,B,B,A,B,B,B,A,C,3,3,4,4,3,62,,246,,
SPC04,C,C,B,A,A,B,A,C,C,4,4,4,3,4,70,,235,,
LDV05,B,B,C,B,B,B,B,A,C,4,3,3,4,4,62,,264,,
ALS05,C,C,C,B,B,B,A,C,C,4,3,4,4,3,75,,233,,
LYO10,C,C,C,B,B,B,A,C,C,3,4,4,4,4,78,,276,,
LYO10,C,C,C,B,B,B,A,C,C,3,4,4,4,4,78,,277,,
OCM14,C,C,C,B,B,B,B,A,A,4,3,3,4,3,62,,260,,
SOU07,A,B,B,A,A,C,A,B,A,2,2,3,3,2,51,,247,,
BRE04,B,B,A,A,A,B,C,A,B,3,2,2,3,2,48,,312,,
HES06,A,A,B,B,A,C,B,A,B,2,2,2,3,2,33,,225,,
UCA02,A,A,A,A,C,C,A,A,A,3,2,2,2,2,35,,212,,
PES07,B,B,B,B,A,B,B,A,B,3,3,3,3,2,51,,268,,
UCA14,A,A,A,A,A,C,A,A,A,2,2,1,1,1,11,texte incompréhensible. ,204,,
CFE05,A,A,A,A,A,C,A,B,A,3,1,2,3,2,36,,217,,
PES03,C,C,B,B,B,B,B,A,C,3,3,3,4,3,65,,519,,
ALS04,C,C,B,B,B,B,B,A,C,3,4,4,4,4,69,difficile d'évaluer l'impact des passages avec de l'humour uniquement sur un contenu textuel. ,420,,
SOU14,C,C,B,C,C,B,B,A,C,3,3,4,3,2,64,,170,,
CVL03,B,B,B,A,A,B,B,A,A,3,3,3,3,2,57,,295,,
NOR12,C,C,B,B,B,B,A,A,A,4,3,4,4,3,73,,315,,
OCM18,B,B,B,A,A,B,A,B,B,3,2,3,3,3,52,,347,,
BFC02,B,B,B,B,B,B,B,A,B,3,2,2,3,2,54,,291,,
CFE09,B,C,C,B,A,B,B,C,B,2,4,3,4,4,61,,298,,
LDV08,C,B,A,A,A,B,C,A,B,3,2,2,3,3,55,,317,,
SOU10,C,B,B,A,A,B,A,C,C,3,3,3,4,4,65,,343,,
SOU09,C,B,B,B,B,B,A,C,C,4,2,3,3,4,58,,242,,
ALS09,B,B,A,A,A,B,B,C,B,3,2,2,3,4,52,,245,,
ALS11,B,C,A,B,B,B,A,C,C,2,3,3,3,4,67,,325,,
GRE13,A,B,A,B,A,A,C,A,B,2,2,2,2,3,48,"Trop de jargon rendant le discours difficile à comprendre. Introduction sensible, à travers le texte je perçois difficilement l'effet produit par l'humour utilisé ici. ",567,,
HES08,C,C,B,B,B,B,A,A,C,5,4,4,4,4,78,,331,,
LDV09,B,B,A,A,A,B,C,B,C,2,3,3,3,3,52,,288,,
LDV07,A,B,C,B,B,B,A,A,C,3,2,2,3,4,51,,331,,
ALS10,C,C,B,B,A,B,A,A,C,4,3,3,4,3,62,,317,,
OCM13,B,A,A,A,A,C,A,A,A,3,2,2,3,2,38,,190,,
HES02,A,B,A,A,A,B,A,A,B,2,3,2,3,5,46,,248,,
HES03,B,C,C,B,B,B,A,A,C,4,3,3,3,5,58,,206,,
NOR05,A,A,A,C,C,C,A,A,A,2,2,2,2,2,24,,264,,
LOR03,C,C,C,B,A,B,B,C,C,4,4,4,3,4,72,,318,,
CVL02,C,C,C,B,B,B,B,C,C,5,4,4,4,4,81,"Très bonne présentation, les métaphores et choix des mots rendent le texte vivant,  hormis la toute dernière phrase de conclusion qui fait retomber l'impact, on pourrait gagner encore quelques points en la retravaillant. ",580,,
UPS04,C,C,B,B,A,C,A,C,C,3,3,3,3,3,64,des répétitions volontaires ou problème de transcription ? ,310,,
HES05,C,B,B,B,B,B,A,C,C,4,3,4,3,4,71,,304,,
SEN02,C,B,B,A,B,B,B,C,B,3,2,3,3,3,58,,301,,
BOD12,B,B,B,A,B,C,A,B,C,2,2,2,3,3,48,,251,,
LYO11,C,B,B,B,B,C,C,C,C,4,3,3,3,3,56,,305,,
BOD01,B,B,B,B,C,B,B,C,A,2,3,3,3,3,52,métaphore intéressante mais mal formulée,270,,
SOU13,B,B,A,A,A,B,A,A,C,2,2,2,2,3,47,,270,,
CFE02,B,B,B,A,A,B,A,C,C,3,2,3,3,3,51,phrases en fin de paragraphes redondantes ou alors c'est une erreur de transcription. ,256,,
HES01,B,A,A,A,A,C,B,C,A,3,2,2,2,3,23,,138,,
LOR08,B,B,A,A,A,B,C,A,B,2,3,2,3,3,34,,234,,
LRE09,A,A,A,A,A,B,A,B,B,2,1,2,2,3,28,"Une  grande partie du texte n'a pas de sens, je ne sais pas si c'est un problème de transcription. ",214,,
BFC06,C,C,C,B,B,B,B,A,C,5,4,4,4,4,88,,273,,
