Lexical_Feature,Criterion,Spearman_Coefficient,p_value
Conditional,Structure,0.11372274370235987,0.28585687792444664
Conditional,Niveau de Langue,0.1190751998481134,0.26363605021295455
Exclamatory,Redondance,0.12415815970021454,0.2436465397260489
Conditional,Créativité du discours,0.13260801543452486,0.21278068722318608
Declarative,Niveau de Langue,0.1373056936478406,0.19687374739753238
Relative,Persuasivité,0.1389642386641893,0.1914674758762315
Exclamatory,Concision,0.14280706433596854,0.17935542599666304
Passive,Langage Négatif,0.14780563723830403,0.1644512429064808
Declarative,Créativité du discours,0.15336298780021296,0.1489799254505655
Conditional,Redondance,0.15446473710278866,0.1460469046149719
Conditional,Concision,0.15733960570761038,0.13859827931578594
Conditional,Persuasivité,0.16689948973447202,0.11588925679146916
Declarative,Discours,0.26590142101306974,0.011306572858926441
